composition,coop_rate,winning_strategy
"[5, 1, 4, 4, 1, 5, 0, 2, 5, 3]",146.28666666666666,['EvolvedANNNoise05']
"[1, 3, 3, 0, 1, 2, 1, 0, 5, 1]",151.75432525951558,['Raider']
"[3, 3, 0, 5, 1, 4, 4, 3, 5, 3]",159.53590010405827,['EvolvedANNNoise05']
"[1, 2, 4, 1, 2, 1, 2, 1, 0, 2]",157.94921875,['Raider']
"[4, 5, 1, 5, 2, 0, 3, 0, 2, 5]",147.61865569272976,['EvolvedANNNoise05']
"[1, 3, 5, 1, 0, 5, 1, 1, 2, 5]",165.16145833333334,['Raider']
"[1, 2, 0, 5, 2, 0, 4, 3, 3, 5]",152.0464,['EvolvedANNNoise05']
"[1, 1, 4, 4, 4, 2, 2, 0, 4, 3]",135.6528,['GrudgerAlternator']
"[4, 2, 0, 3, 1, 4, 2, 3, 1, 1]",165.67573696145124,['EvolvedANNNoise05']
"[2, 1, 4, 1, 4, 3, 3, 0, 1, 5]",150.71527777777777,['EvolvedANNNoise05']
"[1, 0, 5, 3, 2, 1, 1, 2, 3, 3]",139.06349206349208,['SecondByRichardHufford']
"[3, 3, 5, 0, 3, 2, 0, 4, 3, 0]",149.49149338374292,['SneakyTitForTat']
"[0, 0, 2, 4, 0, 3, 2, 4, 0, 2]",173.50865051903114,['EvolvedANNNoise05']
"[2, 4, 5, 3, 0, 0, 4, 5, 2, 1]",162.6360946745562,['Raider']
"[1, 2, 3, 4, 4, 4, 2, 0, 0, 3]",158.16446124763706,['EvolvedANNNoise05']
"[5, 3, 5, 0, 1, 2, 0, 4, 4, 2]",148.05029585798817,['Raider']
"[1, 0, 1, 2, 5, 0, 0, 2, 0, 1]",126.52777777777777,['SecondByRichardHufford']
"[1, 2, 4, 3, 2, 4, 2, 0, 3, 2]",151.02457466918713,['EvolvedANNNoise05']
"[4, 0, 3, 0, 0, 3, 3, 2, 3, 1]",163.13573407202216,['SneakyTitForTat']
"[5, 3, 0, 5, 5, 4, 5, 5, 4, 2]",148.9349030470914,['EvolvedANNNoise05']
"[3, 5, 0, 5, 1, 1, 1, 0, 4, 0]",140.825,['Raider']
"[1, 1, 0, 4, 0, 4, 4, 1, 3, 2]",165.15,['EvolvedANNNoise05']
"[1, 0, 4, 3, 5, 5, 4, 3, 3, 3]",147.68678459937564,['GrudgerAlternator']
"[1, 1, 2, 0, 5, 0, 3, 0, 0, 3]",139.36888888888888,['GrudgerAlternator']
"[5, 1, 2, 1, 5, 1, 4, 1, 5, 3]",131.95663265306123,['EvolvedANNNoise05']
"[2, 5, 4, 2, 3, 2, 3, 4, 2, 5]",157.5546875,['Raider']
"[5, 2, 4, 2, 0, 3, 5, 0, 4, 1]",156.8180473372781,['EvolvedANNNoise05']
"[0, 3, 0, 1, 1, 5, 0, 3, 2, 2]",170.1764705882353,['SneakyTitForTat']
"[3, 1, 5, 2, 2, 3, 5, 4, 4, 2]",153.88241415192508,['EvolvedANNNoise05']
"[5, 0, 3, 2, 5, 2, 0, 1, 4, 5]",128.47325102880657,['SecondByRichardHufford']
"[0, 4, 3, 4, 3, 0, 4, 4, 1, 0]",153.01512287334594,['EvolvedANNNoise05']
"[3, 2, 2, 1, 1, 1, 3, 3, 0, 4]",162.5225,['EvolvedANNNoise05']
"[1, 3, 1, 2, 4, 5, 4, 5, 1, 1]",162.70233196159123,['EvolvedANNNoise05']
"[1, 2, 2, 5, 1, 0, 1, 0, 1, 0]",140.36094674556213,['Raider']
"[3, 4, 4, 3, 3, 0, 3, 3, 1, 4]",149.0076530612245,['Raider']
"[0, 4, 4, 5, 1, 1, 3, 2, 1, 2]",160.6219281663516,['EvolvedANNNoise05']
"[1, 1, 0, 1, 0, 5, 5, 0, 4, 5]",166.96694214876032,['EvolvedANNNoise05']
"[0, 5, 5, 3, 4, 3, 2, 3, 2, 5]",159.107421875,['EvolvedANNNoise05']
"[4, 4, 4, 0, 4, 2, 1, 0, 4, 1]",141.546875,['Raider']
"[1, 4, 5, 5, 4, 1, 0, 5, 5, 1]",143.08844953173778,['Raider']
"[5, 0, 2, 5, 1, 4, 1, 5, 0, 2]",162.1296,['EvolvedANNNoise05']
"[1, 0, 2, 2, 5, 1, 5, 1, 0, 1]",131.26543209876544,['GrudgerAlternator']
"[1, 2, 5, 2, 3, 3, 5, 0, 1, 4]",156.97041420118344,['EvolvedANNNoise05']
"[5, 3, 5, 4, 5, 0, 2, 0, 5, 2]",127.6493236212279,['SecondByRichardHufford']
"[0, 4, 4, 2, 3, 2, 1, 4, 5, 1]",151.8653846153846,['EvolvedANNNoise05']
"[0, 2, 4, 0, 5, 1, 0, 3, 0, 1]",167.3984375,"['Cooperator', 'DefectorHunter']"
"[0, 2, 3, 1, 5, 4, 5, 1, 1, 4]",158.1449704142012,['GrudgerAlternator']
"[5, 3, 2, 1, 5, 1, 3, 1, 0, 1]",132.86157024793388,['DefectorHunter']
"[3, 5, 5, 2, 0, 2, 2, 2, 1, 5]",162.6406035665295,['Raider']
"[1, 1, 3, 1, 1, 0, 2, 5, 1, 2]",156.08996539792386,['Raider']
"[0, 5, 0, 2, 4, 2, 1, 4, 3, 0]",154.7278911564626,['SneakyTitForTat']
"[5, 5, 5, 4, 0, 3, 1, 5, 2, 2]",158.724609375,['Raider']
"[4, 3, 4, 3, 1, 2, 0, 2, 1, 0]",146.4775,['Raider']
"[0, 5, 3, 3, 5, 4, 1, 5, 3, 1]",157.1911111111111,['EvolvedANNNoise05']
"[2, 3, 4, 5, 1, 0, 2, 2, 3, 5]",147.96433470507546,['Raider']
"[2, 1, 2, 0, 2, 4, 0, 2, 5, 1]",150.46537396121883,['SneakyTitForTat']
"[0, 4, 5, 5, 4, 0, 5, 1, 5, 3]",141.740234375,['GrudgerAlternator']
"[1, 4, 5, 5, 5, 5, 3, 3, 5, 1]",149.33162892622352,['EvolvedANNNoise05']
"[0, 3, 0, 1, 0, 1, 1, 1, 4, 4]",152.6888888888889,['EvolvedANNNoise05']
"[2, 1, 1, 2, 0, 1, 5, 0, 4, 0]",165.3515625,['EvolvedANNNoise05']
"[2, 0, 4, 1, 0, 3, 2, 2, 2, 2]",159.54012345679013,['EvolvedANNNoise05']
"[4, 4, 1, 4, 4, 0, 5, 4, 0, 4]",150.63333333333333,['EvolvedANNNoise05']
