,composition,coop_rate,winning_strategy
0,"[0, 2, 1, 2, 5]",162.66,['GrudgerAlternator']
1,"[1, 1, 3, 3, 0]",145.65625,['Raider']
2,"[5, 5, 1, 5, 5]",127.36961451247166,['EvolvedANNNoise05']
3,"[0, 1, 3, 0, 4]",200.0,"['Cooperator', 'GrudgerAlternator', 'Forgiver']"
4,"[2, 1, 1, 0, 2]",113.27777777777777,['Raider']
5,"[0, 1, 0, 1, 1]",155.55555555555554,['EvolvedANNNoise05']
6,"[2, 1, 1, 3, 0]",141.81632653061226,['Raider']
7,"[3, 4, 4, 5, 4]",138.705,['Raider']
8,"[3, 2, 4, 1, 2]",130.25,['Raider']
9,"[5, 1, 0, 0, 4]",77.1,['Forgiver']
10,"[1, 0, 1, 2, 3]",119.3061224489796,['GrudgerAlternator']
11,"[1, 0, 3, 2, 3]",134.8148148148148,['GrudgerAlternator']
12,"[3, 1, 5, 3, 1]",128.81656804733728,['Raider']
13,"[1, 2, 1, 2, 0]",152.08333333333334,['Raider']
14,"[2, 1, 5, 5, 0]",140.94082840236686,['Raider']
15,"[3, 1, 3, 0, 3]",119.3,['Forgiver']
16,"[0, 5, 2, 5, 4]",159.58984375,['EvolvedANNNoise05']
17,"[2, 3, 2, 0, 5]",152.06944444444446,['Forgiver']
18,"[2, 3, 0, 1, 1]",134.6122448979592,['Raider']
19,"[3, 3, 5, 5, 5]",136.56235827664398,['Raider']
20,"[5, 1, 0, 5, 0]",144.91735537190084,['EvolvedANNNoise05']
21,"[4, 5, 1, 2, 2]",131.58163265306123,['Raider']
22,"[1, 1, 1, 1, 0]",139.125,['Raider']
23,"[4, 2, 3, 5, 5]",122.88919667590028,['EvolvedANNNoise05']
24,"[1, 1, 5, 2, 0]",150.4814814814815,['Raider']
25,"[3, 3, 4, 0, 3]",139.84023668639054,['Raider']
26,"[0, 4, 1, 5, 4]",153.9795918367347,['EvolvedANNNoise05']
27,"[5, 0, 1, 2, 2]",90.13,['EvolvedANNNoise05']
