,composition,coop_rate,winning_strategy
0,"[1, 1, 2, 0, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
1,"[2, 4, 3, 4, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
2,"[4, 0, 2, 4, 3]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
3,"[2, 0, 2, 5, 2]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
4,"[1, 2, 3, 4, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
5,"[5, 4, 5, 0, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
6,"[0, 3, 0, 4, 3]",200.0,"['ContriteTitForTat', 'InversePunisher']"
7,"[5, 2, 2, 2, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
8,"[1, 1, 0, 4, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
9,"[3, 0, 0, 2, 2]",200.0,"['FirstByDavis', 'InversePunisher']"
10,"[2, 1, 4, 1, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
11,"[2, 5, 3, 2, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
12,"[3, 4, 4, 2, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
13,"[1, 5, 5, 4, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
14,"[0, 5, 0, 5, 5]",200.0,"['ContriteTitForTat', 'InversePunisher']"
15,"[0, 2, 2, 3, 4]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
16,"[2, 2, 5, 3, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
17,"[3, 2, 3, 5, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
18,"[1, 5, 2, 5, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
19,"[1, 5, 0, 3, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
20,"[2, 4, 2, 1, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
21,"[4, 4, 5, 0, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
22,"[3, 5, 5, 0, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
23,"[0, 1, 2, 0, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
24,"[2, 3, 4, 4, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
25,"[2, 0, 2, 5, 4]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
26,"[0, 1, 1, 2, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
27,"[2, 4, 2, 0, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
28,"[0, 3, 3, 0, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
29,"[1, 2, 4, 2, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
30,"[5, 3, 5, 4, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
31,"[4, 3, 2, 2, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
32,"[5, 0, 4, 3, 5]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
33,"[1, 4, 4, 0, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
34,"[4, 1, 5, 4, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
35,"[4, 5, 0, 2, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
36,"[4, 1, 0, 0, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
37,"[0, 2, 4, 4, 1]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
38,"[4, 2, 3, 0, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
39,"[4, 4, 4, 4, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
40,"[4, 4, 5, 4, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
41,"[1, 0, 2, 4, 3]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
42,"[1, 0, 2, 3, 4]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
43,"[2, 4, 5, 0, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten']"
44,"[4, 2, 5, 0, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
45,"[5, 5, 3, 0, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
46,"[1, 2, 0, 3, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
47,"[4, 3, 2, 0, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
48,"[0, 2, 4, 5, 3]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
49,"[2, 1, 3, 4, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
50,"[3, 4, 4, 2, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
51,"[1, 5, 0, 0, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
52,"[4, 3, 1, 0, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
53,"[0, 0, 1, 2, 5]",200.0,"['OnceBitten', 'InversePunisher']"
54,"[1, 1, 5, 5, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
55,"[2, 1, 3, 5, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
56,"[1, 0, 3, 2, 4]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
57,"[2, 3, 1, 0, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
58,"[0, 0, 2, 2, 0]",200.0,"['OnceBitten', 'InversePunisher']"
59,"[4, 2, 5, 5, 3]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
60,"[3, 4, 0, 5, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
61,"[5, 3, 3, 0, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
62,"[0, 4, 5, 5, 4]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
63,"[2, 2, 4, 1, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
64,"[4, 3, 4, 4, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
65,"[4, 2, 4, 1, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
66,"[0, 2, 1, 2, 1]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
67,"[1, 3, 1, 2, 3]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
68,"[0, 0, 0, 4, 3]",200.0,['InversePunisher']
69,"[1, 0, 1, 3, 0]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
70,"[0, 3, 4, 3, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
71,"[0, 1, 1, 3, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
72,"[2, 1, 3, 3, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
73,"[1, 5, 5, 2, 3]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
74,"[0, 5, 1, 5, 3]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
75,"[3, 1, 1, 2, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
76,"[0, 1, 3, 1, 0]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
77,"[1, 5, 0, 4, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
78,"[4, 5, 3, 4, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
79,"[4, 3, 3, 4, 1]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
80,"[2, 5, 0, 5, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
81,"[3, 0, 4, 5, 5]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
82,"[3, 1, 4, 5, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
83,"[0, 3, 5, 0, 2]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
84,"[5, 2, 3, 3, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
85,"[2, 2, 3, 4, 4]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
86,"[2, 2, 1, 5, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
87,"[3, 0, 2, 0, 1]",200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
88,"[5, 4, 0, 1, 2]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
89,"[4, 3, 2, 3, 0]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
90,"[3, 2, 0, 1, 5]",200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
91,"[0, 3, 0, 5, 5]",200.0,"['ContriteTitForTat', 'InversePunisher']"
92,"[0, 2, 2, 2, 0]",200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
