,composition,gd_slot,gd_k,gd_n,gd_m,coop_rate,winning_strategy
0,"[3, 4, 2, 0, 2]",4,2,1,1,134.51239669421489,"['ContriteTitForTat', 'OnceBitten']"
1,"[5, 3, 1, 3, 0]",3,3,2,2,149.02083333333334,['FirstByDavis']
2,"[4, 1, 5, 5, 3]",4,3,3,3,172.83333333333334,"['FirstByDavis', 'InversePunisher']"
3,"[5, 5, 2, 5, 3]",0,5,4,4,164.8375,['InversePunisher']
4,"[5, 2, 2, 4, 2]",3,4,5,5,165.08444444444444,['FirstByDavis']
5,"[4, 3, 5, 2, 4]",2,2,1,1,105.07716049382717,"['ContriteTitForTat', 'InversePunisher']"
6,"[4, 0, 4, 5, 1]",0,3,2,2,149.14285714285714,['InversePunisher']
7,"[3, 4, 1, 4, 5]",4,5,3,3,153.42560553633217,['FirstByDavis']
8,"[1, 4, 2, 1, 0]",1,3,4,4,150.875,['InversePunisher']
9,"[2, 2, 3, 4, 2]",4,2,5,5,180.47337278106508,['FirstByDavis']
10,"[0, 1, 2, 3, 1]",0,0,1,1,200.0,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
11,"[3, 3, 0, 3, 5]",2,0,2,2,200.0,"['FirstByDavis', 'ContriteTitForTat', 'InversePunisher']"
12,"[0, 2, 4, 1, 5]",1,2,3,3,173.66666666666666,['InversePunisher']
13,"[0, 0, 1, 4, 5]",2,1,4,4,177.36,['InversePunisher']
14,"[4, 1, 2, 5, 4]",3,4,5,5,158.76953125,['FirstByDavis']
15,"[5, 2, 3, 0, 4]",4,0,1,1,103.22448979591837,['ContriteTitForTat']
16,"[5, 1, 4, 3, 2]",0,3,2,2,144.24444444444444,['InversePunisher']
17,"[3, 3, 2, 0, 3]",4,3,3,3,162.95867768595042,['FirstByDavis']
18,"[2, 1, 5, 3, 0]",2,5,4,4,135.2479338842975,['InversePunisher']
19,"[4, 5, 2, 5, 3]",3,5,5,5,169.26592797783934,['FirstByDavis']
20,"[2, 3, 4, 0, 5]",4,5,1,1,83.4438775510204,['ContriteTitForTat']
21,"[3, 2, 1, 2, 5]",3,0,2,2,164.75739644970415,['FirstByDavis']
22,"[2, 5, 3, 4, 2]",2,1,3,3,166.3671875,['FirstByDavis']
23,"[1, 5, 0, 2, 2]",1,5,4,4,126.3,['InversePunisher']
24,"[4, 4, 3, 5, 4]",0,4,5,5,175.32,['InversePunisher']
25,"[3, 1, 4, 4, 4]",4,1,1,1,113.171875,"['ContriteTitForTat', 'InversePunisher']"
26,"[4, 2, 0, 4, 3]",0,4,2,2,134.3905325443787,['InversePunisher']
27,"[3, 4, 2, 5, 0]",2,1,3,3,172.6734693877551,"['FirstByDavis', 'InversePunisher']"
28,"[1, 3, 3, 3, 3]",0,1,4,4,188.32544378698225,['InversePunisher']
29,"[4, 2, 3, 4, 3]",2,3,5,5,168.8984375,['FirstByDavis']
30,"[1, 1, 2, 2, 4]",2,2,1,1,128.34,"['ContriteTitForTat', 'InversePunisher']"
31,"[1, 1, 0, 5, 3]",4,3,2,2,134.03,['FirstByDavis']
32,"[0, 3, 4, 0, 0]",1,2,3,3,171.71428571428572,['GeneralizedDefector']
33,"[3, 2, 0, 5, 4]",3,5,4,4,145.10204081632654,['InversePunisher']
34,"[5, 4, 4, 1, 4]",4,2,5,5,175.3827160493827,['FirstByDavis']
35,"[3, 4, 2, 0, 4]",3,0,1,1,200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
36,"[0, 5, 1, 3, 0]",1,5,2,2,110.74074074074075,['InversePunisher']
37,"[1, 3, 5, 4, 2]",1,3,3,3,169.54666666666665,['FirstByDavis']
38,"[2, 0, 3, 0, 3]",1,0,4,4,200.0,"['FirstByDavis', 'OnceBitten', 'InversePunisher']"
39,"[1, 2, 0, 3, 2]",3,3,5,5,156.6875,['FirstByDavis']
40,"[0, 1, 5, 5, 5]",3,5,1,1,94.84375,"['ContriteTitForTat', 'InversePunisher']"
41,"[2, 5, 3, 1, 1]",1,5,2,2,132.5,['FirstByDavis']
42,"[4, 1, 3, 5, 2]",2,1,3,3,158.61333333333334,['FirstByDavis']
43,"[1, 3, 2, 5, 5]",4,4,4,4,158.65234375,['InversePunisher']
44,"[4, 5, 2, 5, 1]",0,0,5,5,173.93771626297578,['InversePunisher']
45,"[3, 4, 2, 2, 1]",0,3,1,1,112.72916666666667,"['ContriteTitForTat', 'InversePunisher']"
46,"[2, 1, 4, 3, 2]",4,2,2,2,169.09722222222223,['FirstByDavis']
47,"[3, 2, 0, 5, 0]",1,2,3,3,157.0,['FirstByDavis']
48,"[2, 3, 5, 2, 1]",2,5,4,4,147.7810650887574,['InversePunisher']
49,"[5, 5, 5, 0, 3]",1,2,5,5,166.4506172839506,['FirstByDavis']
50,"[5, 3, 3, 5, 3]",2,3,1,1,142.33518005540165,"['ContriteTitForTat', 'InversePunisher']"
51,"[3, 0, 3, 3, 0]",3,1,2,2,145.55555555555554,['FirstByDavis']
52,"[5, 4, 4, 5, 3]",0,4,3,3,164.6031746031746,['InversePunisher']
53,"[2, 0, 3, 2, 2]",0,2,4,4,169.53086419753086,['InversePunisher']
54,"[5, 5, 5, 3, 2]",3,1,5,5,182.8925,['FirstByDavis']
55,"[5, 5, 2, 3, 3]",0,5,1,1,104.55246913580247,"['ContriteTitForTat', 'InversePunisher']"
56,"[3, 4, 5, 5, 5]",1,3,2,2,162.06611570247935,['FirstByDavis']
57,"[5, 1, 2, 4, 2]",0,4,3,3,146.58163265306123,['InversePunisher']
58,"[4, 1, 1, 3, 1]",1,1,4,4,179.56,['InversePunisher']
59,"[3, 5, 5, 4, 5]",3,4,5,5,179.46280991735537,['FirstByDavis']
60,"[2, 2, 4, 3, 1]",1,2,1,1,139.33333333333334,"['OnceBitten', 'InversePunisher']"
61,"[5, 1, 5, 1, 0]",0,2,2,2,148.57638888888889,['InversePunisher']
62,"[4, 0, 2, 4, 0]",3,1,3,3,143.2,['FirstByDavis']
63,"[2, 2, 2, 2, 5]",0,1,4,4,174.9112426035503,['InversePunisher']
64,"[3, 2, 0, 1, 2]",0,3,5,5,157.71875,['InversePunisher']
65,"[5, 3, 3, 0, 5]",1,1,1,1,132.74609375,"['OnceBitten', 'InversePunisher']"
66,"[1, 5, 3, 1, 0]",2,3,2,2,143.99,['FirstByDavis']
67,"[5, 3, 2, 2, 5]",2,2,3,3,175.37716262975778,"['FirstByDavis', 'InversePunisher']"
68,"[3, 3, 3, 3, 1]",0,3,4,4,171.93491124260356,['InversePunisher']
69,"[1, 4, 4, 5, 0]",3,5,5,5,176.8877551020408,['FirstByDavis']
70,"[2, 1, 3, 5, 3]",2,3,1,1,123.91326530612245,"['ContriteTitForTat', 'InversePunisher']"
71,"[5, 0, 5, 3, 3]",2,1,2,2,128.8671875,['FirstByDavis']
72,"[0, 5, 4, 5, 3]",1,4,3,3,155.12110726643598,['InversePunisher']
73,"[1, 5, 4, 3, 1]",3,3,4,4,179.62755102040816,['InversePunisher']
74,"[1, 0, 3, 5, 2]",3,3,5,5,160.08264462809916,['FirstByDavis']
75,"[5, 5, 0, 5, 5]",4,5,1,1,113.25,"['ContriteTitForTat', 'InversePunisher']"
76,"[2, 0, 4, 5, 4]",3,1,2,2,142.04444444444445,['FirstByDavis']
77,"[1, 1, 2, 3, 5]",4,5,3,3,144.44444444444446,['FirstByDavis']
78,"[5, 0, 4, 2, 1]",0,5,4,4,158.75,['InversePunisher']
79,"[4, 0, 1, 3, 0]",0,4,5,5,148.5,['InversePunisher']
80,"[2, 3, 5, 0, 1]",2,3,1,1,60.49586776859504,"['ContriteTitForTat', 'InversePunisher']"
